ref                                                                              deadline             category                reward  teamCount  userHasEntered  
-------------------------------------------------------------------------------  -------------------  ---------------  -------------  ---------  --------------  
https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2    2025-04-01 23:59:00  Featured         2,117,152 Usd       1244           False  
https://www.kaggle.com/competitions/konwinski-prize                              2025-03-12 23:59:00  Featured         1,225,000 Usd        223           False  
https://www.kaggle.com/competitions/czii-cryo-et-object-identification           2025-02-05 23:59:00  Featured            75,000 Usd        915           False  
https://www.kaggle.com/competitions/equity-post-HCT-survival-predictions         2025-03-05 23:59:41  Research            50,000 Usd       2114           False  
https://www.kaggle.com/competitions/llms-you-cant-please-them-all                2025-03-04 23:59:00  Featured            50,000 Usd       1126           False  
https://www.kaggle.com/competitions/fide-google-efficiency-chess-ai-challenge    2025-02-11 23:59:00  Featured            50,000 Usd       1076           False  
https://www.kaggle.com/competitions/lux-ai-season-3                              2025-03-10 23:59:00  Featured            50,000 Usd        392           False  
https://www.kaggle.com/competitions/playground-series-s5e2                       2025-02-28 23:59:00  Playground                Swag        637            True  
https://www.kaggle.com/competitions/titanic                                      2030-01-01 00:00:00  Getting Started      Knowledge      12868            True  
https://www.kaggle.com/competitions/home-data-for-ml-course                      2030-01-01 23:59:00  Getting Started      Knowledge       5667           False  
https://www.kaggle.com/competitions/house-prices-advanced-regression-techniques  2030-01-01 00:00:00  Getting Started      Knowledge       3812            True  
https://www.kaggle.com/competitions/spaceship-titanic                            2030-01-01 00:00:00  Getting Started      Knowledge       2035           False  
https://www.kaggle.com/competitions/digit-recognizer                             2030-01-01 00:00:00  Getting Started      Knowledge       1182           False  
https://www.kaggle.com/competitions/store-sales-time-series-forecasting          2030-06-30 23:59:00  Getting Started      Knowledge        701           False  
https://www.kaggle.com/competitions/nlp-getting-started                          2030-01-01 00:00:00  Getting Started      Knowledge        558           False  
https://www.kaggle.com/competitions/gan-getting-started                          2030-07-01 23:59:00  Getting Started      Knowledge        175           False  
https://www.kaggle.com/competitions/connectx                                     2030-01-01 00:00:00  Getting Started      Knowledge        168           False  
https://www.kaggle.com/competitions/llm-classification-finetuning                2030-07-01 23:59:00  Getting Started      Knowledge        125           False  
https://www.kaggle.com/competitions/tpu-getting-started                          2030-06-03 23:59:00  Getting Started      Knowledge         57           False  
https://www.kaggle.com/competitions/contradictory-my-dear-watson                 2030-07-01 23:59:00  Getting Started      Knowledge         37           False  
